sku_id,cat,rank_v1,recommend_index,rank_v2,recommend_score,rank_change
AMD电脑,计算机,392,47.62,1787,73.18,-1395
南宁某酒店,酒店,393,47.62,2301,33.5,-1908
生姜洗发水,洗发水,394,47.62,2171,47.34,-1777
华为X2平板,平板,395,47.62,2011,58.21,-1616
凯莱酒店,酒店,396,47.62,2373,26.39,-1977
联想ThinkPad T系列,计算机,397,47.62,2310,32.16,-1913
锦江之星上海某酒店,酒店,398,47.62,2233,42.28,-1835
宏基电脑,计算机,399,47.09,2304,33.36,-1905
如家酒店,酒店,400,46.46,2286,35.97,-1886
飘柔洗发水,洗发水,401,44.9,2276,37.4,-1875
海尔手机,手机,402,44.08,2325,28.55,-1923
资生堂洗发水,洗发水,403,44.08,2306,32.95,-1903
格林豪泰酒店,酒店,404,43.32,2207,44.88,-1803
小米平板2,平板,405,43.32,2482,16.48,-2077
承德某酒店,酒店,406,43.32,2291,35.39,-1885
贵宾楼某酒店,酒店,407,43.32,2147,48.92,-1740
同方电脑,计算机,408,43.32,2669,13.25,-2261
航空酒店,酒店,409,43.32,2258,38.67,-1849
今生今世,书籍,410,43.32,1802,72.6,-1392
青苹果,水果,411,43.32,2288,35.65,-1877
诺基亚N72,手机,412,43.32,1991,60.53,-1579
汉庭酒店,酒店,413,42.78,2196,45.5,-1783
Acer电脑,计算机,414,42.69,2210,44.16,-1796
贵阳某酒店,酒店,415,42.69,2319,29.44,-1904
蒙牛高钙奶,蒙牛,416,40.81,2316,30.54,-1900
棉服,衣服,417,40.81,2314,31.0,-1897
短裤,衣服,418,40.81,2222,43.34,-1804
蜂花洗发水,洗发水,419,40.81,2299,33.93,-1880
毕淑敏的作品,书籍,420,40.7,2242,41.1,-1822
南极人裤子,衣服,421,40.7,2327,28.49,-1906
南极人服装,衣服,422,39.17,2294,35.3,-1872
求医不如求己,书籍,423,37.21,1782,73.32,-1359
花牛苹果,水果,424,37.21,2399,25.11,-1975
莫泰酒店,酒店,425,36.58,2260,38.6,-1835
曲阜某酒店,酒店,426,36.58,2406,24.67,-1980
论语,书籍,427,36.09,2223,43.29,-1796
火龙果,水果,428,35.14,2352,27.09,-1924
施华蔻洗发水,洗发水,429,34.04,2410,24.55,-1981
红心火龙果,水果,430,33.9,2378,26.11,-1948
机场某酒店,酒店,431,33.8,2238,41.63,-1807
于丹的作品,书籍,432,31.65,2174,47.0,-1742
背心,衣服,433,31.48,2466,19.44,-2033
如家某酒店,酒店,434,31.23,2467,19.41,-2033
东苑某酒店,酒店,435,30.81,2479,17.55,-2044
锦江之星某酒店,酒店,436,30.7,2453,22.29,-2017
延安饭店,酒店,437,30.7,2324,29.14,-1887
西柚,水果,438,30.59,2515,15.21,-2077
