sku_id,total_comments,effective_comments,effective_ratio,avg_sentiment,std_sentiment,n_sentiment,pos_ratio,neg_ratio,avg_rating_norm,topic_top1_ratio,volume_factor,generated_name,brand_guess,model_guess,absa_comment_count,aspect_sentiment_mean,aspect_positive_ratio,aspect_negative_ratio,aspect_neutral_ratio,absa_confidence_mean,recommend_index_v2
5402840,81,68,0.8395061728395061,0.9384766522356692,0.151553270234178,68,0.9705882352941176,0.0294117647058823,0.9963235294117648,0.1666666666666666,0.9635124575500678,手机（给老人买的、给家里老人买的、老人用、声音大、声音很大、适合老年人用）,,,81,0.7921158917892126,0.7654320987654321,0.1111111111111111,0.1234567901234567,0.8924036088549061,81.34
5019352,80,69,0.8625,0.8661078591831028,0.2991899400487716,69,0.8695652173913043,0.1304347826086956,0.967391304347826,0.1794871794871795,0.9667867558627016,荣耀6 手机,荣耀,荣耀6,80,0.8185198757797479,0.8,0.1375,0.0625,0.9108344431966544,80.82
28082716822,28,25,0.8928571428571429,0.9041566820070148,0.2642570217461319,25,0.92,0.08,0.96,0.1875,0.7414118182610625,华为 手机（物流很快、物流也很快、包装完整、手机不错、手机很漂亮、值得购买）,华为,,28,0.8580239138432911,0.8214285714285714,0.0714285714285714,0.1071428571428571,0.9361653391804012,80.71
28714523786,32,28,0.875,0.8948822526394257,0.2517373966578073,28,0.9285714285714286,0.0714285714285714,0.9553571428571428,0.2222222222222222,0.7662611880276656,小米 手机（支持小米、运行很流畅、性价比很高、手机不错、手机很漂亮、值得购买）,小米,,32,0.8429660499095917,0.84375,0.125,0.03125,0.9486862141638994,80.69
11107032701,44,39,0.8863636363636364,0.8633498483552382,0.2685650911368181,39,0.8717948717948718,0.1282051282051282,1.0,0.2258064516129032,0.8394406953580748,小米 手机（给老人买的、给家里老人买的、老人用、还不错、还可以吧、帮朋友买的）,小米,,44,0.7896367223425345,0.7727272727272727,0.0681818181818181,0.1590909090909091,0.8658760806376283,80.22
21135280362,22,18,0.8181818181818182,0.9594214757283528,0.0704048879503265,18,1.0,0.0,1.0,0.2307692307692307,0.6700359648115938,华为 手机（还不错、还可以吧、帮朋友买的、给老爸买的、老爸很喜欢、给爸爸买的）,华为,,22,0.8237375048073855,0.8181818181818182,0.0454545454545454,0.1363636363636363,0.8922617489641363,80.1
8344046,72,51,0.7083333333333334,0.8813935407784348,0.2782012273840183,51,0.8823529411764706,0.1176470588235294,0.9362745098039216,0.3225806451612903,0.8991442566539268,小米 r15 手机,小米,r15,72,0.8677885217799081,0.8888888888888888,0.0833333333333333,0.0277777777777777,0.926739141345024,79.96
22863264117,43,35,0.813953488372093,0.8866586478693145,0.2438072116570736,35,0.9142857142857144,0.0857142857142857,0.9714285714285714,0.2,0.8154648767857287,华为 荣耀5 手机,华为,荣耀5,43,0.8677869938140692,0.813953488372093,0.1395348837209302,0.0465116279069767,0.9330104977585548,79.89
5942439,93,73,0.7849462365591398,0.8686130503894225,0.2740880982435467,73,0.8767123287671232,0.1232876712328767,1.0,0.2456140350877192,0.9794322204474326,手机（电池耐用、id、1g、声音大、声音很大、适合老年人用）,,,93,0.773053099391281,0.7741935483870968,0.1505376344086021,0.075268817204301,0.9003862969336971,79.66
27357030125,24,22,0.9166666666666666,0.8154598474079235,0.3395470512354041,22,0.8181818181818182,0.1818181818181818,0.9204545454545454,0.2727272727272727,0.7135124575500678,荣耀 手机（给妈妈买的、给老妈买的、帮妈妈买的、手机收到了、手机已收到、物流也很快）,荣耀,,24,0.8360654227435589,0.8333333333333334,0.125,0.0416666666666666,0.928518378486236,79.19
29242522476,12,11,0.9166666666666666,0.9021077439696952,0.2942401637216351,11,0.9090909090909092,0.0909090909090909,1.0,0.2,0.5654648767857287,小米 手机（支持小米、运行很流畅、性价比很高、手机不错、手机很漂亮、值得购买）,小米,,12,0.8252010842164358,0.75,0.0833333333333333,0.1666666666666666,0.9392667015393577,78.91
5920651,49,48,0.979591836734694,0.7915754305043569,0.3433804236964038,48,0.7708333333333334,0.2291666666666666,0.890625,0.1724137931034483,0.8856218745807111,三星 手机（还不错、还可以吧、帮朋友买的、手机不错、手机很漂亮、值得购买）,三星,,49,0.7730122841134364,0.7551020408163265,0.1836734693877551,0.0612244897959183,0.9236736285443208,78.51
5001213,96,80,0.8333333333333334,0.7723361585580278,0.387381716372172,80,0.7875,0.2125,0.84375,0.4473684210526316,1.0,小米 mix2 手机,小米,mix2,96,0.7353899373362461,0.6979166666666666,0.2083333333333333,0.09375,0.863778085137407,77.25
29638202857,27,22,0.8148148148148148,0.870125550268726,0.2728045170704075,22,0.9090909090909092,0.0909090909090909,1.0,0.1764705882352941,0.7135124575500678,手机（还不错、还可以吧、帮朋友买的、信赖京东、相信京东、是正品）,,,27,0.7787398541415179,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.8748720420731438,77.06
